# Q1 - Catalin+Rusu
11 qid:2 1:184.0 2:2.3923116 3:0.97733146 4:6.3673315 5:3.0 6:3.4774058 7:248 # https://www.cs.ubbcluj.ro/files/orar/2021-2/cadre/trdi.html
11 qid:2 1:184.0 2:2.5445585 3:0.25848743 4:6.3673315 5:2.0 6:0.0 7:212 # http://www.cs.ubbcluj.ro/files/orar/2018-2/sali/A323.html
11 qid:2 1:1432.0 2:2.2884712 3:0.8127055 4:6.304996 5:6.0 6:0.0 7:253 # https://www.cs.ubbcluj.ro/files/orar/2021-1/grafic/IE2.html
11 qid:2 1:312.0 2:2.4756567 3:0.86381423 4:6.176575 5:2.0 6:0.0 7:265 # https://www.cs.ubbcluj.ro/files/orar/2021-1/sali/Discovery.html
11 qid:2 1:344.0 2:2.4590106 3:0.25848743 4:6.176575 5:2.0 6:0.0 7:259 # http://www.cs.ubbcluj.ro/files/orar/2018-2/sali/Saturn.html
11 qid:2 1:600.0 2:2.456091 3:0.97733146 4:6.1707 5:2.0 6:0.0 7:258 # https://www.cs.ubbcluj.ro/files/orar/2021-2/sali/Discovery.html
11 qid:2 1:2584.0 2:2.0159802 3:0.863815 4:5.8231497 5:6.0 6:0.0 7:299 # https://www.cs.ubbcluj.ro/files/orar/2021-1/tabelar/IE2.html
11 qid:2 1:312.0 2:2.3019605 3:0.25848743 4:5.7833147 5:2.0 6:0.0 7:241 # http://www.cs.ubbcluj.ro/files/orar/2018-2/sali/NTTSocrate.html
20 qid:2 1:1944.0 2:2.6569078 3:0.01885496 4:5.741142 5:9.0 6:2.499101 7:4870712621 # http://www.cs.ubbcluj.ro/~dianat/index.php
11 qid:2 1:344.0 2:2.2804291 3:0.86381423 4:5.729739 5:2.0 6:0.0 7:275 # https://www.cs.ubbcluj.ro/files/orar/2021-1/sali/NTTSocrate.html
# Q3 - Diana+Troanca
20 qid:3 1:1944.0 2:2.6569078 3:0.01885496 4:8.723862 5:9.0 6:2.499101 7:4870712621 # http://www.cs.ubbcluj.ro/~dianat/index.php
18 qid:3 1:472.0 2:2.3946052 3:0.01885496 4:8.270551 5:9.0 6:2.499101 7:1844433 # http://www.cs.ubbcluj.ro/~dianat/sda-online.php
18 qid:3 1:664.0 2:2.304084 3:0.01885496 4:7.8882484 5:9.0 6:2.499101 7:1675231 # http://www.cs.ubbcluj.ro/~dianat/sgbd.php
6 qid:3 1:536.0 2:2.1592498 3:0.01885496 4:6.2945313 5:4.0 6:0.0 7:55 # http://www.cs.ubbcluj.ro/icfca14/conference-organization/
11 qid:3 1:376.0 2:2.8069353 3:0.8638146 4:2.8060749 5:5.0 6:0.0 7:256 # https://www.cs.ubbcluj.ro/files/orar/2021-1/disc/MLR5009.html
11 qid:3 1:168.0 2:2.7966473 3:0.8638146 4:2.7966838 5:6.0 6:0.0 7:284 # https://www.cs.ubbcluj.ro/files/orar/2021-1/disc/MLE5152.html
11 qid:3 1:376.0 2:2.7693813 3:0.97733206 4:2.7729218 5:3.0 6:0.0 7:208 # https://www.cs.ubbcluj.ro/files/orar/2021-2/disc/MLR5015.html
11 qid:3 1:376.0 2:2.7693813 3:0.01885496 4:2.7729218 5:0.0 6:0.0 7:226 # http://www.cs.ubbcluj.ro/~sanda/views/publications/last5Years.php
11 qid:3 1:408.0 2:2.7636735 3:0.97733206 4:2.767266 5:6.0 6:0.0 7:239 # https://www.cs.ubbcluj.ro/files/orar/2021-2/disc/MLR5022.html
11 qid:3 1:120.0 2:2.7619078 3:0.8638146 4:2.7606606 5:4.0 6:0.0 7:232 # https://www.cs.ubbcluj.ro/files/orar/2021-1/disc/MLG5027.html
11 qid:3 1:136.0 2:2.7574453 3:0.97733206 4:2.7562542 5:8.0 6:0.0 7:201 # https://www.cs.ubbcluj.ro/files/orar/2021-2/disc/MLG5028.html
11 qid:3 1:1432.0 2:2.7195246 3:0.8127053 4:2.7238224 5:7.0 6:0.0 7:204 # https://www.cs.ubbcluj.ro/files/orar/2021-1/grafic/I2.html
11 qid:3 1:536.0 2:2.7050805 3:0.86381495 4:2.6958725 5:6.0 6:0.0 7:278 # https://www.cs.ubbcluj.ro/files/orar/2021-1/tabelar/IG2.html
1 qid:3 1:1048.0 2:2.6913857 3:0.01885496 4:2.6957276 5:5.0 6:0.0 7:8003 # http://www.cs.ubbcluj.ro/~sanda/html/publications/IConf/Year/
1 qid:3 1:1048.0 2:2.6913857 3:0.01885496 4:2.6957276 5:5.0 6:0.0 7:3878 # http://www.cs.ubbcluj.ro/~sanda/html/publications/IConf/Author/
1 qid:3 1:1048.0 2:2.6913857 3:0.01885496 4:2.6957276 5:5.0 6:0.0 7:11637 # http://www.cs.ubbcluj.ro/~sanda/html/publications/IConf/Title/
